frame,x [nm],y [nm],sigma [nm],intensity [photon],offset [photon],bkgstd [photon],chi2,uncertainty [nm]
1.0,3900.94420971671,4935.38062148763,21.31557825463557,158.3852126452271,66.30330438809,10.309582115968276,21.565616623402263,6.580533727507938
1.0,4040.7690728923,3459.720018357352,10.784625069424706,112.11850123272394,69.40244110135731,9.005581479544912,17.211634667030108,2.3345710973001115
1.0,4642.708421075452,2863.8582114426154,18.348161269757533,118.52988855840997,69.36017885586236,9.521468352028808,15.006568187533269,6.065773254762133
1.0,4711.32292000526,639.5766451689406,0.2238725698367028,73.17211707171481,70.82788320634704,9.566941720419798,17.62822391537296,0.7901171494388721
1.0,5220.651323047822,306.5639356715998,46.08399935998007,686.491966457442,72.2551918108354,11.424030795542036,20.96848387791252,7.777491163056138
1.0,5894.617197527215,722.7734872784713,1.7950315085035158,85.83123371994874,71.72268098006099,8.254138390096923,12.93261062751002,0.7573454357506169
1.0,6033.838239456498,3414.750011213484,11.264567597986144,116.22616853312056,81.18241541563242,9.7153304991734,15.732076700263738,2.5784105184362884
1.0,6106.5096038090705,4946.213018643483,50.25774809979683,969.6954481887312,76.73036403506028,14.931889651358343,34.71204767704753,8.490402551865621
1.0,6139.636909723853,3284.149257175304,10.161031115529171,102.3941777719818,81.46847433367189,9.625053722781782,14.680716632971464,2.403591527234436
1.0,6099.64359351221,4923.689079265142,134.2099129895599,24085.36312671383,7.272175289722744e-13,13.632452116347928,24.0077185110697,2.349577151920552
1.0,6315.57333282583,5153.626054924155,31.645860878970687,717.8366436479276,81.96412650598278,15.851725176798428,34.70122908799008,4.889445124858353
1.0,6559.961818686499,3445.3783921324766,55.431443584609845,7518.827004397363,91.44170499049328,20.663501672268826,31.623223572622138,1.9203353445696771
1.0,6690.29291910265,4738.654425299931,70.63140183652253,2238.69964330588,64.69430280989512,12.073872876822834,22.11659608508979,5.956221165396941
1.0,6798.981294878024,6270.779371290276,130.80097651079998,5.203915905445654e-08,68.85335471211678,15.745434276052093,33.829338657218244,1109048193192.075
1.0,8355.888914665458,2618.605948754103,2.565835061514426,94.68394023983886,68.3256369168809,8.348413375103542,13.711069676019486,0.752938607886936
2.0,782.2181141804195,4109.080732951002,12.683645467602872,84.77814901834336,68.61543533598461,8.315438664967875,12.518199874420771,3.723475189773106
2.0,1568.858903730846,6152.812234707853,0.8016145821733766,87.1784037943007,65.77511525473301,8.18279723882142,16.51137464557667,0.7286613430123583
2.0,3238.107022724608,7324.053386984417,0.3641538691607565,71.75103370207886,64.92448314896059,9.451986242722525,18.37480333301468,0.7986308295178177
2.0,3846.3817830300677,642.8067072872245,8.062186487966793,83.35495729116269,66.94437207488696,8.790031105905488,15.658558622319216,1.866451774277712
2.0,5231.292074308237,309.19954039421486,47.395266150206375,790.1160738703092,67.37508483776419,11.660243239966809,22.454945325021484,7.303526805214116
2.0,5859.889376631525,4957.857261835801,24.749587313205247,188.7093807883009,69.14977170926049,10.136239550610108,16.51364454478589,7.292133358572082
2.0,5951.256940655214,1485.8154593920335,7.564905752181909,89.44148749161735,68.21622824352531,7.690129239941402,11.656480160187533,1.5037454047302434
2.0,6109.602773995621,4911.5433736417635,52.74048202500331,1574.3882141053791,68.12126578962018,13.619830028910735,32.46405984064489,5.326596731218623
2.0,6163.374695749027,3357.7510953434517,30.9259664553028,266.0275864728871,81.32723341982332,11.162817154676096,19.357285312239277,8.814330007009195
2.0,6329.780293973842,5146.453761951481,54.48730961178449,1985.071587653172,69.87307506140345,11.666856256474915,17.430747490361124,3.936160887881315
2.0,6555.965846228015,3443.5960979460997,54.26274448965568,7556.334627705939,80.9305026031605,27.84268205717045,56.08589745504006,2.407998196425968
2.0,6678.183317373489,4763.79831307269,57.61236642913811,1175.878320552476,68.30636540822844,12.08916109319402,25.138045730709603,7.504026094886014
2.0,6699.851565409617,4712.344646623198,18.36295238970477,161.5974390623088,83.24117860061364,11.208095844716436,21.107954748934556,5.241636729180207
2.0,7362.163692244909,3483.2191029624205,40.23879348149481,499.0298697664264,61.16340758648103,9.762383984138364,15.252064782386697,7.027649428687293
2.0,8115.89995457574,6693.525335024053,2.7359111735608885,85.35158137485256,66.77586655195577,8.388897989162881,13.397488217208531,0.8044586491025278
2.0,8235.867384151203,6737.140694522457,0.8752757058418681,76.25059455585028,66.50366115351515,6.5585639923047445,8.630558033938328,0.780171841653428
2.0,8331.522108682611,4563.790497403746,0.7727006843428035,104.46609330906026,66.37833630361312,9.322693933092278,17.498729948318566,0.6653105758331185
2.0,9192.204797975564,895.1394425698306,5.132660101843501,86.428118152996,66.69457192660406,7.559976420348879,11.20496038347412,1.03754213023715
2.0,11033.798092448353,6987.452262997993,7.89731730467235,96.74971413698772,66.72607822144084,7.973236544848211,12.909014725800048,1.526040208717088
3.0,835.5504411270974,3004.7637727184106,20.87803346250032,142.25411374486643,70.93006745407952,9.841329611589552,18.05672062929838,6.717452662688491
3.0,1119.211108800693,5019.364280757039,29.502349717471347,266.9094970148338,65.04940029844579,9.035675503774687,15.395808590434283,6.578897606291
3.0,1302.9590397344386,929.986791983496,8.801373739268108,101.15790539999207,68.19483786520593,8.132635220513048,12.69306644580491,1.73120441750519
3.0,1450.6537707030684,6763.628261503338,1.6678728749313494,91.45567361150158,67.83575274439842,8.813569817768366,15.275678309528873,0.7298258994171433
3.0,1944.8001182171,3620.015398527432,91.74915296614296,8603.165843079421,3.139905822344985e-11,22.844319494871087,184.3392322042065,4.89045259561922
3.0,5221.431758101654,314.8535408122063,72.85771870780329,3661.579162005192,45.17289916620434,11.20800992891424,20.06031605289516,3.685127780570988
3.0,6103.48502408089,4916.57881567407,41.64556555553042,863.7956219508868,82.29430343980246,16.998071884674793,38.134690487406985,7.451479036088305
3.0,6326.432328430103,5153.363187211516,68.73304729751958,2634.1010426762828,64.96758623079579,9.545914924033791,14.421891352095434,3.906978740110873
3.0,6359.409244466107,5156.598544232041,109.15071202995222,16151.261459304636,7.898024657390964e-09,10.003573775284837,15.012195287684722,1.7999254513983889
3.0,6568.120972080411,3441.0183338984216,52.90756798798914,7062.578466054385,87.6847582260612,21.222842011212293,30.643064558393693,1.9105980145334989
3.0,6683.770209501436,4750.6068062669365,22.17889989150944,223.93607240750936,82.65497747368364,12.091397725962636,22.831840836670324,5.897466025070638
3.0,6695.902545271009,4715.409636379156,136.674435466561,18957.634593245297,11.27185448268509,12.12290116654993,22.497155844149745,2.7453899626826948
3.0,6919.073576537626,589.3914686629811,8.99135461930661,112.89142226620328,68.30417301371943,9.796721600809937,19.94558335123541,1.8383379059785487
3.0,7664.847032943613,2582.3775986031937,9.0261527226308,98.1227816551863,68.30225795231061,10.483821935538025,19.07404963390932,2.184774860394128
3.0,7771.056658789895,3232.8498021328346,39.127429823144894,322.0173339835177,66.17124136807942,12.865390390893348,26.52054353168536,13.28969377700138
3.0,7846.662861703754,3465.723270512809,7.803955055395392,98.81229638095974,71.79899808954875,10.76401182776424,20.287999230871648,1.760204008499512
3.0,8314.62918505171,1787.0411148135308,8.458211121918469,94.05351880379558,69.34608428082154,7.820930463409494,11.996764288604538,1.6941603582699605
3.0,9620.316628602352,1640.9168747207098,0.1832212729959649,65.0149642384744,71.78503576152565,9.32962997159991,14.866189846324524,0.8380667227513526
